uniprot1	genesymbol1	geneid1	uniprot2	genesymbol2	geneid2	species	interaction_type	experiment
P51532	SMARCA4	6597	Q969V6	MKL1	57591	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
Q99459	CDC5L	988	Q9BUJ2	HNRNPUL1	11100	human	0915:physical association	0364:inferred by curator
Q15797	SMAD1	4086	Q01196	RUNX1	861	human	0915:physical association	0004:affinity chromatography technology
Q91ZW3	Smarca5	93762	P17679	Gata1	14460	mouse	0915:physical association	0004:affinity chromatography technology
P23760	PAX3	5077	Q13547	HDAC1	3065	human	0915:physical association	0004:affinity chromatography technology
Q5T6U8	HMGA1	3159	Q9BUG6	ZSCAN5A	79149	human	0915:physical association	0004:affinity chromatography technology
P38398	BRCA1	672	Q13363	CTBP1	1487	human	0915:physical association	0004:affinity chromatography technology
Q92793	CREBBP	1387	Q9UL17	TBX21	30009	human	0915:physical association	0004:affinity chromatography technology
P42582	Nkx2-5	18091	Q62315	Jarid2	16468	mouse	0915:physical association	0096:pull down; 0007:anti tag coimmunoprecipitation
Q14814	MEF2D	4209	O15379	HDAC3	8841	human	0915:physical association; 0407:direct interaction	0415:enzymatic study; 0004:affinity chromatography technology
P15172	MYOD1	4654	P35232	PHB	5245	human	0915:physical association	0004:affinity chromatography technology
P08651	NFIC	4782	Q9HCE7	SMURF1	57154	human	0915:physical association	0004:affinity chromatography technology
P25490	YY1	7528	Q06587	RING1	6015	human	0915:physical association	0004:affinity chromatography technology
O15265	ATXN7	6314	Q14CW9	ATXN7L3	56970	human	0915:physical association	0364:inferred by curator; 0004:affinity chromatography technology
Q8NBB4	ZSCAN1	284312	Q13573	SNW1	22938	human	0407:direct interaction	0018:two hybrid
P47974	ZFP36L2	678	Q13618	CUL3	8452	human	0915:physical association	0004:affinity chromatography technology
P20265	POU3F2	5454	P23760	PAX3	5077	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0096:pull down
Q9Y5J3	HEY1	23462	O75592	MYCBP2	23077	human	0915:physical association	0004:affinity chromatography technology
Q8VHR5	Gatad2b	229542	Q80Z64	Nanog	71950	mouse	0915:physical association; 0914:association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
Q99JB6	Foxp3	20371	Q8BVK9	Sp110	109032	mouse	0915:physical association	0004:affinity chromatography technology
P39880	CUX1	1523	P06493	CDK1	983	human	0407:direct interaction	0415:enzymatic study
Q16236	NFE2L2	4780	Q9Y297	BTRC	8945	human	0915:physical association	1313:bioid; 0004:affinity chromatography technology
O75478	TADA2A	6871	P61964	WDR5	11091	human	0915:physical association	0364:inferred by curator; 0004:affinity chromatography technology
P17861	XBP1	7494	Q9UK33	ZNF580	51157	human	0407:direct interaction	0018:two hybrid
O94776	MTA2	9219	O95983	MBD3	53615	human	0915:physical association; 0914:association; 0407:direct interaction	0007:anti tag coimmunoprecipitation; 0364:inferred by curator; 0401:biochemical; 0096:pull down; 0030:cross-linking study; 0004:affinity chromatography technology
P26358	DNMT1	1786	P05412	JUN	3725	human	0914:association	0006:anti bait coimmunoprecipitation
Q61539	Esrrb	26380	Q924H2	Med15	94112	mouse	0915:physical association	0004:affinity chromatography technology
Q9UNY4	TTF2	8458	Q01664	TFAP4	7023	human	0915:physical association	0004:affinity chromatography technology
P04637	TP53	7157	P51948	MNAT1	4331	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
Q9UNY5	ZNF232	7775	Q9NWS9	ZNF446	55663	human	0407:direct interaction	0018:two hybrid
O14503	BHLHE40	8553	P15923	TCF3	6929	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0004:affinity chromatography technology
P51531	SMARCA2	6595	Q92769	HDAC2	3066	human	0915:physical association; 0914:association	0401:biochemical; 0004:affinity chromatography technology
P04637	TP53	7157	P51946	CCNH	902	human	0915:physical association; 0407:direct interaction	0047:far western blotting; 0004:affinity chromatography technology
Q08639	Tfdp1	21781	Q9JL10	Sertad1	55942	mouse	0915:physical association	0004:affinity chromatography technology
Q9Y4Z2	NEUROG3	50674	Q04864	REL	5966	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 1112:two hybrid prey pooling approach; 0397:two hybrid array; 1356:validated two hybrid
Q96RI1	NR1H4	9971	P63165	SUMO1	7341	human	0915:physical association	0004:affinity chromatography technology
Q9UPG8	PLAGL2	5326	Q15637	SF1	7536	human	0915:physical association	0399:two hybrid fragment pooling approach
Q9BR84	ZNF559	84527	Q99750	MDFI	4188	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0398:two hybrid pooling approach; 1112:two hybrid prey pooling approach; 0397:two hybrid array; 1356:validated two hybrid
P10276	RARA	5914	P28702	RXRB	6257	human	0915:physical association; 0914:association; 0407:direct interaction	0018:two hybrid; 0398:two hybrid pooling approach; 0096:pull down
P01100	FOS	2353	Q9Y2D9	ZNF652	22834	human	0915:physical association	0034:display technology
Q15796	SMAD2	4087	O15054	KDM6B	23135	human	0915:physical association	0004:affinity chromatography technology
P17096	HMGA1	3159	Q92831	KAT2B	8850	human	0407:direct interaction	0415:enzymatic study
Q02078	MEF2A	4205	P23409	MYF6	4618	human	0915:physical association	0364:inferred by curator
Q9JI44	Dmap1	66233	Q3U1C2	Ruvbl1	56505	mouse	0914:association	0096:pull down
P09874	PARP1	142	Q92769	HDAC2	3066	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
P14921	ETS1	2113	P15336	ATF2	1386	human	0407:direct interaction	0096:pull down
Q9JI44	Dmap1	66233	Q8R3B7	Brd8	78656	mouse	0914:association	0096:pull down; 0007:anti tag coimmunoprecipitation
Q8IX15	HOMEZ	57594	Q9UH73	EBF1	1879	human	0407:direct interaction	0018:two hybrid
Q12952	FOXL1	2300	Q8N196	SIX5	147912	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
P52927	Hmga2	15364	Q91W39	Ncoa5	228869	mouse	0914:association	0096:pull down
O43829	ZBTB14	7541	Q15014	MORF4L2	9643	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 1112:two hybrid prey pooling approach; 0397:two hybrid array; 1356:validated two hybrid
O75603	GCM2	9247	Q96LI6	HSFY2	159119	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 1112:two hybrid prey pooling approach; 0397:two hybrid array; 1356:validated two hybrid
Q5BKZ1	ZNF326	284695	Q9UL18	AGO1	26523	human	0914:association	0007:anti tag coimmunoprecipitation
P38398	BRCA1	672	Q96QT6	PHF12	57649	human	0407:direct interaction	0018:two hybrid
Q9Y261	FOXA2	3170	P48742	LHX1	3975	human	0407:direct interaction	0096:pull down
O75478	TADA2A	6871	Q99459	CDC5L	988	human	0915:physical association	0004:affinity chromatography technology
Q15653	NFKBIB	4793	O14920	IKBKB	3551	human	0915:physical association; 0407:direct interaction	0676:tandem affinity purification; 0415:enzymatic study; 0004:affinity chromatography technology
O75376	NCOR1	9611	Q96ST3	SIN3A	25942	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
Q96KM6	ZNF512B	57473	Q9NRG4	SMYD2	56950	human	0915:physical association	0006:anti bait coimmunoprecipitation
P98182	ZNF200	7752	P12757	SKIL	6498	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0397:two hybrid array
Q9UKN5	PRDM4	11108	Q13547	HDAC1	3065	human	0915:physical association	0364:inferred by curator; 0004:affinity chromatography technology
P25963	NFKBIA	4792	O00625	PIR	8544	human	0407:direct interaction	0018:two hybrid
P18848	ATF4	468	Q15744	CEBPE	1053	human	0407:direct interaction	0055:fluorescent resonance energy transfer
Q61169	Gata6	14465	Q04742	Emx1	13796	mouse	0407:direct interaction	0018:two hybrid
P10589	NR2F1	7025	Q12952	FOXL1	2300	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
P12755	SKI	6497	O14744	PRMT5	10419	human	0915:physical association; 0914:association	0029:cosedimentation through density gradient; 0676:tandem affinity purification; 0004:affinity chromatography technology
Q15910	EZH2	2146	P17844	DDX5	1655	human	0915:physical association	0004:affinity chromatography technology
P55771	PAX9	5083	Q9UGL1	KDM5B	10765	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0004:affinity chromatography technology
Q9NS56	TOPORS	10210	Q96ST3	SIN3A	25942	human	0915:physical association; 0407:direct interaction	0415:enzymatic study; 0004:affinity chromatography technology
P48432	Sox2	20674	Q9R190	Mta2	23942	mouse	0914:association	0006:anti bait coimmunoprecipitation; 0007:anti tag coimmunoprecipitation
Q8TBZ8	ZNF564	163050	Q99750	MDFI	4188	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 1112:two hybrid prey pooling approach; 0397:two hybrid array; 1356:validated two hybrid
Q9P2Y4	ZNF219	51222	Q9UBB5	MBD2	8932	human	0915:physical association	0004:affinity chromatography technology
Q8BL48	Unk	217331	P41133	Id3	15903	mouse	0915:physical association	0004:affinity chromatography technology
O75152	ZC3H11A	9877	O00716	E2F3	1871	human	0914:association	0096:pull down
Q99612	KLF6	1316	Q96JN0	LCOR	84458	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0096:pull down; 0004:affinity chromatography technology
P41134	ID1	3397	P15923	TCF3	6929	human	0915:physical association; 0914:association; 0407:direct interaction	0018:two hybrid; 0096:pull down; 0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
Q9H2P0	ADNP	23394	Q06330	RBPJ	3516	human	0915:physical association	0004:affinity chromatography technology
Q8CHV6	Tada2a	217031	Q6PGF3	Med16	216154	mouse	0914:association	0006:anti bait coimmunoprecipitation
Q9BYE7	PCGF6	84108	P35226	BMI1	648	human	0407:direct interaction	0018:two hybrid
P04198	MYCN	4613	Q6PIV2	FOXR1	283150	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
P49639	HOXA1	3198	Q15654	TRIP6	7205	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0398:two hybrid pooling approach
P05412	JUN	3725	Q14765	STAT4	6775	human	0915:physical association	0004:affinity chromatography technology
P43354	NR4A2	4929	P78347	GTF2I	2969	human	0915:physical association	0034:display technology
Q6DIC0	Smarca2	67155	P97496	Smarcc1	20588	mouse	0915:physical association; 0914:association	0006:anti bait coimmunoprecipitation; 0004:affinity chromatography technology
O95628	CNOT4	4850	Q92600	RQCD1	9125	human	0915:physical association	0364:inferred by curator
Q9Y6Q9	NCOA3	8202	P04637	TP53	7157	human	0407:direct interaction	0096:pull down
O75376	NCOR1	9611	P25490	YY1	7528	human	0915:physical association	0364:inferred by curator
Q9H4L7	SMARCAD1	56916	P01106	MYC	4609	human	0915:physical association	0006:anti bait coimmunoprecipitation
P42226	STAT6	6778	Q9C0G0	ZNF407	55628	human	0407:direct interaction	0018:two hybrid
Q53SS8	PCBP1	5093	O94906	PRPF6	24148	human	0915:physical association	0364:inferred by curator
Q9UKT9	IKZF3	22806	P25791	LMO2	4005	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 1112:two hybrid prey pooling approach; 0397:two hybrid array; 1356:validated two hybrid
P17275	JUNB	3726	Q9NR55	BATF3	55509	human	0407:direct interaction	0055:fluorescent resonance energy transfer; 0081:peptide array
Q66K89	E4F1	1877	Q6IT96	HDAC1	3065	human	0915:physical association; 0407:direct interaction	0096:pull down; 0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
Q8CJF7	Ahctf1	226747	P52927	Hmga2	15364	mouse	0914:association	0096:pull down
Q15796	SMAD2	4087	Q96J02	ITCH	83737	human	0915:physical association; 0407:direct interaction	0415:enzymatic study; 0004:affinity chromatography technology
Q811S7	Ubp1	22221	P20263	Pou5f1	18999	mouse	0915:physical association; 0914:association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
Q92793	CREBBP	1387	Q99967	CITED2	10370	human	0915:physical association	0004:affinity chromatography technology
Q92793	CREBBP	1387	Q99966	CITED1	4435	human	0915:physical association	0004:affinity chromatography technology
Q80Z64	Nanog	71950	Q99LT0	Dpy30	66310	mouse	0915:physical association	0004:affinity chromatography technology
O43670	ZNF207	7756	Q9BQA1	WDR77	79084	human	0915:physical association; 0407:direct interaction	0018:two hybrid
Q12830	BPTF	2186	Q09028	RBBP4	5928	human	0915:physical association	0004:affinity chromatography technology
Q61169	Gata6	14465	P97471	Smad4	17128	mouse	0407:direct interaction	0096:pull down
Q8WXF1	PSPC1	55269	Q5T3J3	LRIF1	55791	human	0407:direct interaction	0018:two hybrid
Q9UPW6	SATB2	23314	Q9H3D4	TP63	8626	human	0915:physical association	0006:anti bait coimmunoprecipitation
P14921	ETS1	2113	P31314	TLX1	3195	human	0915:physical association	0006:anti bait coimmunoprecipitation
Q01196	RUNX1	861	P17947	SPI1	6688	human	0407:direct interaction	0096:pull down
P10276	RARA	5914	P31749	AKT1	207	human	0915:physical association; 0407:direct interaction	0096:pull down; 0415:enzymatic study; 0019:coimmunoprecipitation; 0004:affinity chromatography technology
P10242	MYB	4602	Q15744	CEBPE	1053	human	0407:direct interaction	0096:pull down
Q06330	RBPJ	3516	Q99697	PITX2	5308	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
Q6PJG2	ELMSAN1	91748	Q6IT96	HDAC1	3065	human	0915:physical association; 0914:association	0006:anti bait coimmunoprecipitation; 0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
P67809	YBX1	4904	Q9HC52	CBX8	57332	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
P29037	Tbp	21374	P13297	Msx1	17701	mouse	0407:direct interaction	0018:two hybrid
Q13485	SMAD4	4089	Q9NP66	HMG20A	10363	human	0915:physical association; 0407:direct interaction	0018:two hybrid
P20823	HNF1A	6927	P35680	HNF1B	6928	human	0407:direct interaction	0096:pull down
O75362	ZNF217	7764	Q92769	HDAC2	3066	human	0915:physical association; 0914:association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
O43889	CREB3	10488	P53567	CEBPG	1054	human	0407:direct interaction	0055:fluorescent resonance energy transfer
Q9Y3E2	BOLA1	51027	O76081	RGS20	8601	human	0915:physical association	0006:anti bait coimmunoprecipitation; 0004:affinity chromatography technology
Q9NYF8	BCLAF1	9774	Q6ZW49	PAXIP1	22976	human	0915:physical association	0004:affinity chromatography technology
P10275	AR	367	Q16512	PKN1	5585	human	0915:physical association	0364:inferred by curator
P03372	ESR1	2099	Q9NYF8	BCLAF1	9774	human	0915:physical association; 0914:association	0029:cosedimentation through density gradient; 0004:affinity chromatography technology
P10070	GLI2	2736	Q93009	USP7	7874	human	0915:physical association	0004:affinity chromatography technology
P01106	MYC	4609	O60264	SMARCA5	8467	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
O95983	MBD3	53615	Q9C0K0	BCL11B	64919	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
O95785	WIZ	58525	Q9H5I1	SUV39H2	79723	human	0915:physical association; 0407:direct interaction	0018:two hybrid
Q61539	Esrrb	26380	Q6JPI3	Med13l	76199	mouse	0915:physical association	0004:affinity chromatography technology
P04150	NR3C1	2908	Q96PU5	NEDD4L	23327	human	0407:direct interaction	0096:pull down
Q02962	PAX2	5076	P45983	MAPK8	5599	human	0407:direct interaction	0415:enzymatic study
Q14686	NCOA6	23054	Q9BZK7	TBL1XR1	79718	human	0915:physical association	0364:inferred by curator
Q9BYE7	PCGF6	84108	Q8N344	MIER2	54531	human	0915:physical association	0004:affinity chromatography technology
O75469	NR1I2	8856	Q9Y618	NCOR2	9612	human	0407:direct interaction	0018:two hybrid; 0096:pull down
Q8BL48	Unk	217331	P63330	Ppp2ca	19052	mouse	0915:physical association	0004:affinity chromatography technology
P09631	Hoxa9	15405	P05627	Jun	16476	mouse	0407:direct interaction	0018:two hybrid
Q01201	RELB	5971	Q6FI27	GSK3B	2932	human	0915:physical association; 0407:direct interaction	0006:anti bait coimmunoprecipitation; 0415:enzymatic study; 0004:affinity chromatography technology
P06733	ENO1	2023	P41182	BCL6	604	human	0915:physical association	0399:two hybrid fragment pooling approach
P19793	RXRA	6256	Q6ZW49	PAXIP1	22976	human	0915:physical association	0364:inferred by curator
